platform,name,path,readiness_score,blockers,next_actions,sln_count,csproj_count,addin_count,installer_count,readme_count,frameworks,versions,vendor_ids,assemblies,has_license_code,has_tests,has_external_api_or_network,hardcoded_user_paths,broken_project_refs,latest_version_hint,packages
Revit,Addin Dashboard,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Addin Dashboard,80,,Write README/user guide; Add smoke/regression test checklist; Prepare privacy policy/network disclosure,1,2,3,3,0,net48; net48;net8.0-windows,"2019, 2024, 2025, 2026",BIM_DASHBOARD,BIMCommandCenter.dll; C:\ProgramData\Autodesk\Revit\Addins\BIMCommandCenter\net48\BIMCommandCenter.dll; C:\ProgramData\Autodesk\Revit\Addins\BIMCommandCenter\net8.0-windows\BIMCommandCenter.dll,True,False,True,False,False,True,Microsoft.Web.WebView2 1.0.2903.40; Newtonsoft.Json 13.0.3
Revit,Auto Tagging Dimensioning,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Auto Tagging Dimensioning,75,,Create customer-friendly installer/uninstaller; Add smoke/regression test checklist,1,1,1,0,1,net48;net6.0-windows,"2024, 2025",JYCompany,AutoTagging.dll,True,False,False,False,False,True,System.Management 3.0.0; System.Management 7.0.0
Revit,Crash Point 3D Section Box,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Crash Point 3D Section Box,20,No csproj found,Create or locate .addin/plugin manifest; Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version,0,0,0,0,0,,,,,False,False,False,False,False,False,
Revit,Crash Point Photo,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Crash Point Photo,70,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist; Verify latest supported Autodesk version; Prepare privacy policy/network disclosure,1,2,2,6,0,net48,2024,SMART_BIM_MEP,ClashPointPhoto\ClashPointPhoto.dll,True,False,True,False,True,False,DocumentFormat.OpenXml 2.20.0; Microsoft.Web.WebView2 1.0.2365.46; Newtonsoft.Json 13.0.3
Revit,Family Plan Batch,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Family Plan Batch,60,Hardcoded local/user paths in manifests or projects; Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist; Verify latest supported Autodesk version,1,1,1,7,0,net48,2024,OPENAI,C:\Users\user\Desktop\개발 소스\Family Plan Batch\bin\Release\FamilyPlanBatch.dll,True,False,False,True,True,False,
Revit,Filter Utility Summary,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Filter Utility Summary,75,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist,1,2,1,4,0,net48; net48; net48; net48; net48; net48; net48; net8.0-windows; net8.0-windows; net8.0-windows,"2023, 2024, 2025",OPENCLAW,FilterUtility.dll,True,False,False,False,True,True,Nice3point.Revit.Api.RevitAPI 2019.*; Nice3point.Revit.Api.RevitAPI 2020.*; Nice3point.Revit.Api.RevitAPI 2021.*; Nice3point.Revit.Api.RevitAPI 2022.*; Nice3point.Revit.Api.RevitAPI 2023.*; Nice3point.Revit.Api.RevitAPI 2024.*; Nice3point.Revit.Api.RevitAPI 2025.*; Nice3point.Revit.Api.RevitAPI 2026.*; Nice3point.Revit.Api.RevitAPIUI 2019.*; Nice3point.Revit.Api.RevitAPIUI 2020.*; Nice3point.Revit.Api.RevitAPIUI 2021.*; Nice3point.Revit.Api.RevitAPIUI 2022.*; Nice3point.Revit.Api.RevitAPIUI 2023.*; Nice3point.Revit.Api.RevitAPIUI 2024.*; Nice3point.Revit.Api.RevitAPIUI 2025.*; Nice3point.Revit
Revit,MEP Splitter,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/MEP Splitter,80,Suspicious ProjectReference path,Write README/user guide; Verify latest supported Autodesk version,1,3,2,6,0,net48,"2021, 2024",MEPSplitter,MEPSplitter.Core.dll,True,True,False,False,True,False,Microsoft.NET.Test.Sdk 17.8.0; NUnit 3.14.0; NUnit3TestAdapter 4.5.0; RevitTestFramework ...
Revit,Model Health Dashboard,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Model Health Dashboard,85,Suspicious ProjectReference path,Add smoke/regression test checklist; Prepare privacy policy/network disclosure,1,1,2,3,1,net48;net8.0-windows,"2019, 2024, 2026",ModelHealthDashboard,C:\ProgramData\Autodesk\Revit\Addins\ModelHealth\net48\ModelHealthExporter.dll; C:\ProgramData\Autodesk\Revit\Addins\ModelHealth\net8.0-windows\ModelHealthExporter.dll,True,False,True,False,True,True,Newtonsoft.Json 13.0.3
Revit,Multi File Upgrade,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Multi File Upgrade,60,Suspicious ProjectReference path,Create or locate .addin/plugin manifest; Write README/user guide; Add smoke/regression test checklist,0,2,0,6,0,net48,"2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",,,True,False,False,False,True,True,
Revit,PlumbingFlexPipe,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/PlumbingFlexPipe,60,,Create customer-friendly installer/uninstaller; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version; Prepare privacy policy/network disclosure,0,1,1,0,1,,2024,PLUMBING_FLEX_AUTO,PlumbingFlexPipe\PlumbingFlexPipe.dll,False,False,True,False,False,False,
Revit,Project Unit Conversion,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Project Unit Conversion,50,Hardcoded local/user paths in manifests or projects; Suspicious ProjectReference path,Create or locate .addin/plugin manifest; Write README/user guide; Add smoke/regression test checklist,1,1,0,6,0,net472; net472; net48; net48; net48; net48; net8.0-windows; net8.0-windows,"2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026",,,True,False,False,True,True,True,Newtonsoft.Json 13.0.3
Revit,REVIT CRASH POINT,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/REVIT CRASH POINT,75,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist,2,3,1,5,0,net48,"2022, 2023, 2024, 2025, 2026",SMART_BIM_MEP,ClashDetectionAddin\ClashDetectionAddin.dll,True,False,False,False,True,True,
Revit,Revit Auto Save,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Revit Auto Save,80,,Write README/user guide; Add smoke/regression test checklist,1,2,3,1,0,net48-windows; net48;net8.0-windows,"2019, 2024, 2025, 2026",AutoSyncDev,C:\ProgramData\Autodesk\Revit\Addins\2024\RevitAutoSync\RevitAutoSync.dll; C:\ProgramData\Autodesk\Revit\Addins\RevitAutoSync\net48\RevitAutoSync.dll; C:\ProgramData\Autodesk\Revit\Addins\RevitAutoSync\net8.0-windows\RevitAutoSync.dll,True,False,False,False,False,True,System.Text.Json 8.0.5
Revit,RevitAddin.MepBim,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/RevitAddin.MepBim,55,,Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Prepare privacy policy/network disclosure,1,1,3,0,0,net48;net8.0-windows,"2019, 2022, 2023, 2024, 2025, 2026",JYCompany,C:\ProgramData\Autodesk\Revit\Addins\MepBim\net48\RevitAddin.MepBim.dll; C:\ProgramData\Autodesk\Revit\Addins\MepBim\net8.0-windows\RevitAddin.MepBim.dll; RevitAddin.MepBim\RevitAddin.MepBim.dll,False,False,True,False,False,True,Newtonsoft.Json 13.0.3
Revit,RevitLOAChat,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/RevitLOAChat,60,Hardcoded local/user paths in manifests or projects,Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Prepare privacy policy/network disclosure,1,1,9,3,0,net48;net8.0-windows,"2019, 2023, 2024, 2025, 2026",STEC,C:/Users/user/Desktop/개발 소스/RevitLOAChat/bin/Debug/net48/RevitLOAChat.dll; C:/Users/user/Desktop/개발 소스/RevitLOAChat/bin/Debug/net8.0-windows/RevitLOAChat.dll; C:\ProgramData\Autodesk\Revit\Addins\2024\RevitLOAChat.dll; RevitLOAChat.dll,False,False,True,True,False,True,Newtonsoft.Json 13.0.3
Revit,To Do List,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/To Do List,75,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist,1,2,6,2,0,net47;net48;net8.0-windows; net48,"2019, 2024, 2025, 2026",MySelf,C:\ProgramData\Autodesk\Revit\Addins\RevitTodoAddin\net47\RevitTodoAddin.dll; C:\ProgramData\Autodesk\Revit\Addins\RevitTodoAddin\net48\RevitTodoAddin.dll; C:\ProgramData\Autodesk\Revit\Addins\RevitTodoAddin\net8.0-windows\RevitTodoAddin.dll; RevitTodoAddin.dll,True,False,False,False,True,True,
Revit,Workset Dashboard,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/Workset Dashboard,75,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist; Prepare privacy policy/network disclosure,1,1,6,2,0,,2026,OpenClaw,WorksetDashboard.dll,True,False,True,False,True,True,
Revit,docs,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/docs,20,No csproj found,Create or locate .addin/plugin manifest; Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version,0,0,0,0,0,,,,,False,False,False,False,False,False,
Revit,mep final VER1.1,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/mep final VER1.1,20,No csproj found,Create or locate .addin/plugin manifest; Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version,0,0,0,0,0,,,,,False,False,False,False,False,False,
Revit,부하계산,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/부하계산,50,,Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version,1,1,1,0,0,net48,2024,KR.LoadCalc,LoadCalc.dll,False,False,False,False,False,False,netDxf 2022.11.2
Revit,자동 도면화,$BCC_ADDIN_DEV_SOURCE_ROOT/01_Revit_Addins/자동 도면화,40,Hardcoded local/user paths in manifests or projects,Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Add smoke/regression test checklist; Verify latest supported Autodesk version,1,1,1,0,0,net472; net48; net8.0-windows,"2019, 2021, 2024",MEP_AUTOMATION,C:\Users\사용자명\Desktop\Revit addin openclaw\개발 소스 폴더\자동 도면화\RevitDrawingAutomation\bin\Release\RevitDrawingAutomation.dll,False,False,False,True,False,False,ExcelDataReader 3.7.0; ExcelDataReader.DataSet 3.7.0; Microsoft.CSharp 4.7.0; System.Text.Json 8.0.5
Navisworks,Naviswork Data Heatmap,$BCC_ADDIN_DEV_SOURCE_ROOT/02_Navisworks_Tools/Naviswork Data Heatmap,30,Hardcoded local/user paths in manifests or projects; Suspicious ProjectReference path,Create or locate .addin/plugin manifest; Create customer-friendly installer/uninstaller; Write README/user guide; Define licensing/trial behavior; Verify latest supported Autodesk version,1,1,0,0,0,net48,2023,,,False,True,False,True,True,False,OxyPlot.Core 2.1.2; OxyPlot.Wpf 2.1.2
Navisworks,Navisworks Auto SearchSet,$BCC_ADDIN_DEV_SOURCE_ROOT/02_Navisworks_Tools/Navisworks Auto SearchSet,70,Suspicious ProjectReference path,Write README/user guide; Add smoke/regression test checklist; Verify latest supported Autodesk version,1,2,1,2,0,net48; net8.0-windows,2023,,NavisworksAutoSearchSet.dll,True,False,False,False,True,False,DocumentFormat.OpenXml 2.16.0
